LTLA Code,MSOA Code,MSOA Name,Under 16,16-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,16+
E08000033,E02002253,Pellon West & Highroad Well,2664,1872,726,787,681,589,467,434,365,254,197,156,208,6736
E08000033,E02002254,Hipperholme,1120,896,369,433,378,436,497,545,430,391,396,273,390,5434
E08000033,E02002255,Pellon East,2387,2170,782,836,779,590,520,344,315,281,186,145,357,7305
E08000033,E02002256,Todmorden West & Cornholme,1905,1422,657,661,641,698,797,769,606,552,552,377,405,8137
E08000033,E02002257,King Cross,2063,1686,637,616,576,464,402,281,293,234,134,97,128,5548
E08000033,E02002258,Clifton & Bailiff Bridge,1629,1347,575,540,555,640,746,713,590,504,506,344,437,7497
E08000033,E02002259,Savile Park,1415,1168,566,572,512,512,466,478,455,360,357,242,446,6134
E08000033,E02002260,Sowerby Bridge,1571,1514,633,642,585,636,727,677,607,480,544,338,347,7730
E08000033,E02002261,Southowram & Siddal,1581,1335,635,571,539,521,608,652,587,446,443,298,346,6981
E08000033,E02002262,Brighouse,1224,1244,484,441,460,499,637,685,540,418,481,366,537,6792
E08000033,E02002263,Sowerby & Luddendenfoot,1324,998,413,442,431,491,576,556,494,410,384,248,237,5680
E08000033,E02002264,Skircoat Green,1318,971,396,475,435,549,577,543,471,380,436,340,488,6061
E08000033,E02002265,Todmorden East & Walsden,983,797,382,376,372,378,515,442,377,361,381,225,283,4889
E08000033,E02002266,Rastrick East,943,869,355,349,355,452,491,441,371,352,383,314,342,5074
E08000033,E02002267,Rastrick West,1419,1314,509,472,470,556,687,615,513,468,531,360,387,6882
E08000033,E02002268,Elland,2037,1741,755,712,646,708,804,779,632,517,545,394,554,8787
E08000033,E02002269,Greetland & Stainland,1731,1389,629,578,649,694,835,710,668,560,578,382,393,8065
E08000033,E02002270,"Ripponden, Rishworth & Barkisland",1610,1336,443,522,599,691,804,786,644,541,484,363,328,7541
E08000034,E02002271,Birkenshaw,1423,1079,478,498,500,474,574,552,489,379,448,308,467,6246
E08000034,E02002272,Birstall,2011,1536,768,715,605,635,715,729,600,458,534,356,433,8084
E08000034,E02002273,Scholes & Hunsworth,1119,970,437,404,363,449,529,542,413,369,397,262,323,5458
E08000034,E02002274,Gomersal,1317,992,430,434,453,493,569,548,441,377,370,280,342,5729
E08000034,E02002275,Cleckheaton,1628,1437,681,605,596,653,678,644,499,439,493,330,508,7563
E08000034,E02002276,"Wilton Park, Carlinghow & Brookroyd",1719,1299,530,564,512,472,547,536,417,366,403,289,282,6217
E08000034,E02002277,Upper Batley & Soothill,1546,1318,528,532,532,451,480,420,325,252,281,208,295,5622
E08000034,E02002278,Hightown & Hartshead Moor,1396,1136,422,470,420,456,522,430,397,338,394,277,258,5520
E08000034,E02002279,"Liversedge, Littletown & Millbridge",1319,1081,460,422,412,463,482,479,362,331,331,210,274,5307
E08000034,E02002280,Batley Central,1635,1488,574,592,493,450,389,327,293,289,222,142,172,5431
E08000034,E02002281,Heckmondwike North,2753,2125,870,921,862,767,777,665,635,511,506,340,501,9480
E08000034,E02002282,Staincliffe & Healey,1984,1637,593,668,573,491,516,376,305,268,217,146,187,5977
E08000034,E02002283,Batley Carr & Mount Pleasant,1636,1707,610,658,563,515,538,378,388,368,233,129,178,6265
E08000034,E02002284,Shaw Cross & Hanging Heaton,1180,988,473,391,409,388,456,478,387,336,300,235,301,5142
E08000034,E02002285,"Heckmondwike Town, Norristhorpe & Roberttown",1426,1259,476,535,507,531,677,610,519,455,503,341,438,6851
E08000034,E02002286,Dewsbury Moor Upper,1706,1255,566,534,473,428,417,360,331,268,227,108,177,5144
E08000034,E02002287,Dewsbury Central & Westborough,1724,1594,698,641,610,542,504,408,336,253,196,142,253,6177
E08000034,E02002288,Earlsheaton & Chickenley,2280,1743,844,741,685,678,747,686,551,433,418,278,393,8197
E08000034,E02002289,Dewsbury Moor Lower & Westtown,2180,1711,659,588,566,510,452,299,241,193,157,99,156,5631
E08000034,E02002290,Northorpe & Crossley,1077,841,362,381,382,461,438,472,435,398,444,371,417,5402
E08000034,E02002291,Battyeford,1228,1000,433,420,412,464,485,459,402,373,400,326,339,5513
E08000034,E02002292,Bradley & North Fixby,951,842,323,329,350,346,429,437,431,393,335,231,323,4769
E08000034,E02002293,Ravensthorpe,2846,2261,880,880,836,640,550,366,299,240,190,108,152,7402
E08000034,E02002294,Dewsbury Savile Town & Thornhill Lees,2763,2760,852,884,864,817,703,511,519,462,287,210,287,9156
E08000034,E02002295,Deighton & Brackenhall,2038,1415,606,641,552,480,534,480,311,276,213,181,205,5894
E08000034,E02002296,Mirfield Central & Hopton,1112,1031,407,436,388,411,602,547,417,374,473,372,527,5985
E08000034,E02002297,Cowcliffe & South Fixby,1341,1176,433,483,541,510,529,484,491,417,420,269,351,6104
E08000034,E02002298,Thornhill,1256,1113,502,384,346,418,515,582,451,401,395,248,369,5724
E08000034,E02002299,Huddersfield Leeds Road & Fartown,1820,2523,813,736,608,525,461,405,306,212,161,120,221,7091
E08000034,E02002300,North Lindley & Birchencliffe,1737,1141,627,621,616,596,552,545,492,431,419,355,543,6938
E08000034,E02002301,Birkby,2376,1976,886,849,696,645,543,397,355,278,163,115,233,7136
E08000034,E02002302,Kirkheaton,1156,829,349,337,402,488,515,512,429,344,433,256,334,5228
E08000034,E02002303,Oakes & South Lindley,1310,1059,489,488,501,448,509,478,369,323,316,231,393,5604
E08000034,E02002304,Edgerton & Marsh,1067,1920,657,590,521,433,479,418,381,272,257,198,270,6396
E08000034,E02002305,Rawthorpe,1383,1314,516,452,396,408,437,429,350,256,209,152,232,5151
E08000034,E02002306,"Scapegoat Hill, Outlane & West Golcar",1017,891,358,350,387,436,549,510,558,395,367,250,338,5389
E08000034,E02002307,Dalton Long Lane,1116,956,424,367,306,360,486,490,405,312,311,236,290,4943
