Week,Age_group,positive_1_6_days_after_1st_dose,positive_7_13_days_after_1st_dose,positive_14_20_days_after_1st_dose,positive_above_20_days_after_1st_dose,positive_1_6_days_after_2nd_dose,positive_7_13_days_after_2nd_dose,positive_14_30_days_after_2nd_dose,positive_31_90_days_after_2nd_dose,positive_above_90_days_after_2nd_dose,positive_1_6_days_after_3rd_dose,positive_7_13_days_after_3rd_dose,positive_14_20_days_after_3rd_dose,positive_above_20_days_after_3rd_dose,Sum_positive_without_vaccination
2021-09-05 - 2021-09-11,0-19,129,440,235,213,38,35,36,410,1643,229,99,,,26453
2021-09-05 - 2021-09-11,20-29,14,34,11,169,5,<5,<5,30,4332,515,345,,,2356
2021-09-05 - 2021-09-11,30-39,11,24,20,156,<5,11,11,36,4308,343,392,85,11,2237
2021-09-05 - 2021-09-11,40-49,12,21,10,85,<5,<5,<5,18,2636,217,314,145,20,1562
2021-09-05 - 2021-09-11,50-59,7,12,6,49,,<5,<5,5,1097,82,97,68,111,743
2021-09-05 - 2021-09-11,60-69,<5,<5,<5,25,,<5,<5,5,458,31,54,25,169,386
2021-09-05 - 2021-09-11,70-79,<5,<5,<5,5,<5,<5,<5,<5,197,7,19,20,105,168
2021-09-05 - 2021-09-11,80-89,,,<5,8,,<5,<5,<5,97,11,9,12,60,106
2021-09-05 - 2021-09-11,90+,<5,<5,,<5,,<5,<5,,22,<5,5,<5,12,35
2021-09-12 - 2021-09-18,0-19,89,242,232,301,64,31,34,371,1200,80,79,12,,27605
2021-09-12 - 2021-09-18,20-29,8,26,17,182,<5,6,<5,16,3778,213,187,47,,2404
2021-09-12 - 2021-09-18,30-39,10,30,20,178,9,<5,11,33,4340,178,173,168,108,2375
2021-09-12 - 2021-09-18,40-49,7,15,14,137,<5,,<5,26,2589,115,126,121,205,1642
2021-09-12 - 2021-09-18,50-59,<5,5,8,65,<5,,<5,5,1010,43,49,49,187,795
2021-09-12 - 2021-09-18,60-69,<5,<5,5,26,,,<5,5,489,6,18,17,211,427
2021-09-12 - 2021-09-18,70-79,,,<5,12,,<5,,5,214,11,9,<5,113,191
2021-09-12 - 2021-09-18,80-89,,<5,,<5,<5,,,<5,86,<5,<5,<5,64,117
2021-09-12 - 2021-09-18,90+,,<5,,<5,,,,<5,20,<5,<5,<5,15,46
2021-09-19 - 2021-09-25,0-19,58,185,137,288,47,37,32,273,825,28,34,13,6,20350
2021-09-19 - 2021-09-25,20-29,7,17,6,172,7,6,5,18,2518,104,102,50,25,1753
2021-09-19 - 2021-09-25,30-39,6,15,15,172,6,<5,<5,30,3134,80,97,75,220,1878
2021-09-19 - 2021-09-25,40-49,<5,15,10,73,<5,,9,11,1919,58,84,40,274,1260
2021-09-19 - 2021-09-25,50-59,<5,<5,<5,41,,<5,,10,812,32,27,16,168,666
2021-09-19 - 2021-09-25,60-69,,<5,<5,26,<5,,,<5,448,19,13,5,172,358
2021-09-19 - 2021-09-25,70-79,,,<5,5,,,,<5,159,<5,12,<5,122,186
2021-09-19 - 2021-09-25,80-89,,,,<5,,,<5,<5,62,<5,<5,,59,88
2021-09-19 - 2021-09-25,90+,,,,,,,<5,<5,13,,<5,,25,29
2021-09-26 - 2021-10-02,0-19,62,67,48,192,29,20,25,174,570,17,7,5,15,12207
2021-09-26 - 2021-10-02,20-29,8,6,7,106,7,,<5,21,1664,60,29,13,53,1137
2021-09-26 - 2021-10-02,30-39,<5,<5,7,98,5,<5,<5,19,1775,76,31,28,183,1221
2021-09-26 - 2021-10-02,40-49,<5,<5,5,71,5,<5,,8,1187,44,24,23,223,832
2021-09-26 - 2021-10-02,50-59,<5,,<5,33,<5,<5,<5,8,467,29,11,<5,161,455
2021-09-26 - 2021-10-02,60-69,,,,13,,<5,<5,<5,260,7,5,5,127,232
2021-09-26 - 2021-10-02,70-79,,<5,<5,5,,<5,,,106,<5,6,,88,120
2021-09-26 - 2021-10-02,80-89,,,,<5,,,,<5,51,<5,<5,<5,51,72
2021-09-26 - 2021-10-02,90+,,,,<5,,,,<5,9,,,,15,16
2021-10-03 - 2021-10-09,0-19,31,50,22,104,10,16,16,124,360,22,10,<5,17,8000
2021-10-03 - 2021-10-09,20-29,<5,7,8,78,<5,<5,,8,939,81,30,<5,51,918
2021-10-03 - 2021-10-09,30-39,8,<5,<5,73,6,<5,<5,10,904,87,34,11,117,870
2021-10-03 - 2021-10-09,40-49,<5,<5,<5,39,<5,<5,<5,5,596,61,24,<5,144,539
2021-10-03 - 2021-10-09,50-59,<5,<5,<5,20,,<5,,<5,306,32,14,<5,91,314
2021-10-03 - 2021-10-09,60-69,,,<5,9,,,,<5,152,12,5,<5,90,167
2021-10-03 - 2021-10-09,70-79,,<5,,<5,,,,<5,63,6,<5,,63,82
2021-10-03 - 2021-10-09,80-89,,,,<5,<5,,,,18,,,,39,47
2021-10-03 - 2021-10-09,90+,<5,,,,,,<5,,5,,,,8,8
2021-10-10 - 2021-10-16,0-19,11,33,16,66,<5,5,9,88,177,9,7,,10,6301
2021-10-10 - 2021-10-16,20-29,<5,8,<5,46,<5,<5,<5,8,439,27,30,7,48,482
2021-10-10 - 2021-10-16,30-39,<5,9,<5,44,<5,<5,<5,<5,494,22,42,9,121,516
2021-10-10 - 2021-10-16,40-49,<5,<5,<5,28,<5,,<5,7,319,19,27,7,147,360
2021-10-10 - 2021-10-16,50-59,,<5,,12,,,,<5,162,9,11,<5,79,176
2021-10-10 - 2021-10-16,60-69,,<5,,<5,<5,,,,94,8,7,<5,63,118
2021-10-10 - 2021-10-16,70-79,,,,<5,,,<5,,33,<5,,<5,33,56
2021-10-10 - 2021-10-16,80-89,,,,<5,,,,,11,<5,,<5,20,32
2021-10-10 - 2021-10-16,90+,,,,,,,,,5,,,,<5,8
2021-10-17 - 2021-10-23,0-19,5,13,8,38,<5,<5,7,44,124,<5,6,<5,6,4208
2021-10-17 - 2021-10-23,20-29,<5,<5,5,19,<5,,<5,7,251,5,7,6,33,311
2021-10-17 - 2021-10-23,30-39,<5,<5,<5,31,,<5,<5,10,336,14,10,11,107,341
2021-10-17 - 2021-10-23,40-49,<5,<5,,12,,<5,<5,<5,203,10,5,5,129,234
2021-10-17 - 2021-10-23,50-59,<5,<5,,9,,,,,79,<5,<5,<5,58,99
2021-10-17 - 2021-10-23,60-69,,,,<5,,,,,52,<5,,<5,47,60
2021-10-17 - 2021-10-23,70-79,,,,<5,,,,,20,,,<5,38,36
2021-10-17 - 2021-10-23,80-89,,,,<5,,,,,9,,<5,,18,14
2021-10-17 - 2021-10-23,90+,,,,,,,,,<5,,<5,,,7
2021-10-24 - 2021-10-30,0-19,<5,<5,<5,32,<5,<5,<5,23,88,<5,<5,<5,7,2610
2021-10-24 - 2021-10-30,20-29,<5,,5,16,,,,<5,136,<5,<5,<5,32,224
2021-10-24 - 2021-10-30,30-39,,<5,<5,15,,<5,<5,<5,200,6,<5,<5,81,240
2021-10-24 - 2021-10-30,40-49,,,<5,12,,,,5,136,<5,<5,,77,202
2021-10-24 - 2021-10-30,50-59,,,,<5,,,,<5,57,<5,<5,,40,84
2021-10-24 - 2021-10-30,60-69,,,,<5,,,,<5,36,<5,,,33,49
2021-10-24 - 2021-10-30,70-79,,,,,,,,,15,,,,25,25
2021-10-24 - 2021-10-30,80-89,,,,,,,<5,,5,<5,,,8,11
2021-10-24 - 2021-10-30,90+,,,,,,,,,<5,<5,,,<5,<5
2021-10-31 - 2021-11-06,0-19,<5,<5,<5,19,<5,<5,,23,55,<5,,,<5,1968
2021-10-31 - 2021-11-06,20-29,,<5,,19,,,<5,<5,105,<5,<5,<5,35,218
2021-10-31 - 2021-11-06,30-39,<5,<5,,19,<5,,<5,<5,136,7,7,<5,68,241
2021-10-31 - 2021-11-06,40-49,<5,<5,<5,13,,,<5,6,104,5,<5,5,65,172
2021-10-31 - 2021-11-06,50-59,,,<5,<5,<5,<5,,<5,35,,,<5,26,98
2021-10-31 - 2021-11-06,60-69,,,,5,,,,,24,<5,,,25,43
2021-10-31 - 2021-11-06,70-79,,,,,,,,<5,15,,,,23,25
2021-10-31 - 2021-11-06,80-89,,,<5,<5,,,,,5,,,<5,10,9
2021-10-31 - 2021-11-06,90+,,,,,,,,,<5,,,,<5,<5
2021-11-07 - 2021-11-13,0-19,<5,<5,<5,19,,<5,<5,10,40,,,<5,5,1830
2021-11-07 - 2021-11-13,20-29,<5,<5,<5,15,,,<5,<5,90,,,,19,138
2021-11-07 - 2021-11-13,30-39,,<5,,6,,,,10,126,<5,<5,<5,64,145
2021-11-07 - 2021-11-13,40-49,,<5,<5,<5,<5,<5,,<5,75,<5,<5,,52,118
2021-11-07 - 2021-11-13,50-59,,,,<5,,,,<5,19,<5,,<5,31,46
2021-11-07 - 2021-11-13,60-69,,,,<5,,,,,20,,<5,,43,33
2021-11-07 - 2021-11-13,70-79,,,,<5,,,,,5,,,<5,25,19
2021-11-07 - 2021-11-13,80-89,,,,<5,,,,,5,<5,<5,,9,7
2021-11-07 - 2021-11-13,90+,,,,<5,,,,,,,,,,0
2021-11-14 - 2021-11-20,0-19,<5,<5,<5,13,<5,<5,<5,13,44,,,<5,5,1863
2021-11-14 - 2021-11-20,20-29,,,,9,,,,<5,85,,<5,,26,157
2021-11-14 - 2021-11-20,30-39,,<5,<5,11,,,,<5,113,<5,<5,,74,143
2021-11-14 - 2021-11-20,40-49,,,,10,,,,<5,83,<5,<5,,82,98
2021-11-14 - 2021-11-20,50-59,,,,<5,,,,,35,,<5,,28,57
2021-11-14 - 2021-11-20,60-69,,,,<5,<5,,,,19,,,,30,36
2021-11-14 - 2021-11-20,70-79,,,,<5,,,,<5,12,,,,25,15
2021-11-14 - 2021-11-20,80-89,,,,,,,,,,,,,5,11
2021-11-14 - 2021-11-20,90+,,,,,,,,,,,,,<5,<5
