date,areaType,areaCode,areaName,metric,age,rate,value
"2021-03-11",nation,E92000001,England,maleCases,"60_to_64",5996.2,91576
"2021-03-11",nation,E92000001,England,maleCases,"65_to_69",4282.3,57931
"2021-03-11",nation,E92000001,England,maleCases,"85_to_89",8145.4,28578
"2021-03-11",nation,E92000001,England,maleCases,"10_to_14",3798.1,68840
"2021-03-11",nation,E92000001,England,maleCases,"45_to_49",7764.3,132009
"2021-03-11",nation,E92000001,England,maleCases,"80_to_84",5475.1,34792
"2021-03-11",nation,E92000001,England,maleCases,"5_to_9",2487.9,45021
"2021-03-11",nation,E92000001,England,maleCases,"70_to_74",3584.3,47677
"2021-03-11",nation,E92000001,England,maleCases,"20_to_24",9350.5,148460
"2021-03-11",nation,E92000001,England,maleCases,"75_to_79",4260.1,38371
"2021-03-11",nation,E92000001,England,maleCases,"25_to_29",8745.6,156785
"2021-03-11",nation,E92000001,England,maleCases,"50_to_54",7405.5,136208
"2021-03-11",nation,E92000001,England,femaleCases,"75_to_79",3735.5,38848
"2021-03-11",nation,E92000001,England,femaleCases,"20_to_24",12212.7,183497
"2021-03-11",nation,E92000001,England,femaleCases,"60_to_64",5972.7,94644
"2021-03-11",nation,E92000001,England,femaleCases,"65_to_69",3765.1,54366
"2021-03-11",nation,E92000001,England,femaleCases,"30_to_34",9895.1,184869
"2021-03-11",nation,E92000001,England,femaleCases,"10_to_14",3988.9,68838
"2021-03-11",nation,E92000001,England,femaleCases,"55_to_59",6972.9,138100
"2021-03-11",nation,E92000001,England,femaleCases,"0_to_4",2423.2,38927
"2021-03-11",nation,E92000001,England,femaleCases,"90+",13450.6,47217
"2021-03-11",nation,E92000001,England,femaleCases,"85_to_89",7981.4,42216
"2021-03-11",nation,E92000001,England,femaleCases,"25_to_29",11169,189330
"2021-03-11",nation,E92000001,England,femaleCases,"5_to_9",2281.3,42455
"2021-03-11",nation,E92000001,England,femaleCases,"70_to_74",3099.6,44919
"2021-03-11",nation,E92000001,England,femaleCases,"35_to_39",8907.8,169907
"2021-03-11",nation,E92000001,England,femaleCases,"45_to_49",8987.7,154059
"2021-03-11",nation,E92000001,England,femaleCases,"50_to_54",8488.9,159295
"2021-03-11",nation,E92000001,England,femaleCases,"40_to_44",8258.3,155630
"2021-03-11",nation,E92000001,England,femaleCases,"80_to_84",5098.7,41017
"2021-03-11",nation,E92000001,England,femaleCases,"15_to_19",8000.8,130797
"2021-03-10",nation,E92000001,England,maleCases,"10_to_14",3789.1,68676
"2021-03-10",nation,E92000001,England,maleCases,"75_to_79",4257.5,38348
"2021-03-10",nation,E92000001,England,maleCases,"45_to_49",7754.9,131848
"2021-03-10",nation,E92000001,England,maleCases,"50_to_54",7396.8,136048
"2021-03-10",nation,E92000001,England,maleCases,"65_to_69",4279.8,57897
"2021-03-10",nation,E92000001,England,maleCases,"60_to_64",5991.3,91502
"2021-03-10",nation,E92000001,England,maleCases,"40_to_44",7172.7,132632
"2021-03-10",nation,E92000001,England,maleCases,"85_to_89",8139.7,28558
"2021-03-10",nation,E92000001,England,maleCases,"90+",12151.5,20200
"2021-03-10",nation,E92000001,England,maleCases,"25_to_29",8734.5,156586
"2021-03-10",nation,E92000001,England,maleCases,"30_to_34",8096.3,156511
"2021-03-10",nation,E92000001,England,maleCases,"55_to_59",6352.3,122404
"2021-03-10",nation,E92000001,England,maleCases,"70_to_74",3582.5,47652
"2021-03-10",nation,E92000001,England,maleCases,"0_to_4",2407,40755
"2021-03-10",nation,E92000001,England,maleCases,"5_to_9",2482.1,44916
"2021-03-10",nation,E92000001,England,maleCases,"35_to_39",7598.4,144411
"2021-03-10",nation,E92000001,England,maleCases,"15_to_19",6314,108567
"2021-03-10",nation,E92000001,England,maleCases,"20_to_24",9340.4,148299
"2021-03-10",nation,E92000001,England,maleCases,"80_to_84",5471.8,34771
"2021-03-10",nation,E92000001,England,femaleCases,"65_to_69",3762,54321
"2021-03-10",nation,E92000001,England,femaleCases,"15_to_19",7987.4,130578
"2021-03-10",nation,E92000001,England,femaleCases,"35_to_39",8895.9,169681
"2021-03-10",nation,E92000001,England,femaleCases,"75_to_79",3733.2,38824
"2021-03-10",nation,E92000001,England,femaleCases,"0_to_4",2417,38827
"2021-03-10",nation,E92000001,England,femaleCases,"40_to_44",8248.7,155450
"2021-03-10",nation,E92000001,England,femaleCases,"90+",13445.2,47198
"2021-03-10",nation,E92000001,England,femaleCases,"50_to_54",8479.7,159123
"2021-03-10",nation,E92000001,England,femaleCases,"55_to_59",6965.7,137957
"2021-03-10",nation,E92000001,England,femaleCases,"25_to_29",11155.2,189097
"2021-03-10",nation,E92000001,England,femaleCases,"85_to_89",7976.1,42188
"2021-03-10",nation,E92000001,England,femaleCases,"10_to_14",3979.5,68676
"2021-03-10",nation,E92000001,England,femaleCases,"45_to_49",8978.2,153896
"2021-03-10",nation,E92000001,England,femaleCases,"20_to_24",12197.6,183271
"2021-03-10",nation,E92000001,England,femaleCases,"60_to_64",5966.7,94548
"2021-03-10",nation,E92000001,England,femaleCases,"5_to_9",2275.9,42356
"2021-03-10",nation,E92000001,England,femaleCases,"80_to_84",5095.9,40994
"2021-03-10",nation,E92000001,England,femaleCases,"30_to_34",9880.3,184593
"2021-03-10",nation,E92000001,England,femaleCases,"70_to_74",3096.9,44879
"2021-03-09",nation,E92000001,England,maleCases,"60_to_64",5984.9,91404
"2021-03-09",nation,E92000001,England,maleCases,"10_to_14",3777.8,68472
"2021-03-09",nation,E92000001,England,maleCases,"65_to_69",4275.7,57842
"2021-03-09",nation,E92000001,England,maleCases,"15_to_19",6304.2,108398
"2021-03-09",nation,E92000001,England,maleCases,"0_to_4",2401.5,40662
