RegionType,Region,Week started,N only,OR only,S only,OR+N,OR+S,N+S,OR+N+S,Mean,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
Country,Wales,19 October 2020,30,4,0,4,0,0,61,28.1,20.5,23.5,30.0,32.8,33.4
Country,Wales,26 October 2020,4,0,0,21,4,0,71,25.3,15.4,21.1,26.2,30.7,32.6
Country,Wales,2 November 2020,12,6,0,21,0,0,61,28.9,21.3,27.7,30.1,32.4,34.1
Country,Wales,9 November 2020,25,0,0,19,0,0,56,28.9,15.3,24.5,31.9,34.0,35.4
Country,Wales,16 November 2020,10,0,0,24,5,0,62,29.9,22.0,28.3,31.2,33.4,34.2
Country,Wales,23 November 2020,32,12,0,4,0,8,44,29.5,16.1,29.2,32.6,33.9,35.0
Country,Wales,30 November 2020,14,11,0,8,0,0,67,26.5,18.2,20.1,27.1,32.4,34.2
Country,Wales,7 December 2020,15,6,0,21,0,0,59,25.3,16.7,19.0,24.7,31.7,33.7
Country,Wales,14 December 2020,1,0,0,13,1,0,84,23.2,15.8,18.9,24.0,26.9,29.2
Country,Wales,21 December 2020,6,6,0,14,0,0,74,23.4,16.0,20.2,23.6,26.7,30.9
Country,Wales,28 December 2020,19,0,0,16,0,0,65,26.0,15.3,18.4,29.5,32.1,32.9
Country,Wales,4 January 2021,18,4,0,43,0,0,36,27.7,19.4,22.7,30.3,32.1,33.6
Country,Wales,11 January 2021,27,21,0,32,0,0,20,29.9,18.6,26.4,32.7,34.0,35.1
Country,Wales,18 January 2021,21,21,0,40,0,1,18,30.8,24.5,29.9,32.5,33.5,34.1
Country,Wales,25 January 2021,21,29,0,32,0,3,15,32.4,28.7,31.3,33.3,34.2,35.4
Country,Wales,1 February 2021,32,7,0,47,0,0,14,30.7,24.8,29.1,32.4,33.6,34.7
Country,Wales,8 February 2021,11,5,0,61,0,0,24,26.8,15.5,21.3,28.8,32.1,34.5
Country,Wales,15 February 2021,29,9,0,47,0,0,15,31.6,28.0,31.5,32.9,33.7,34.6
Country,Wales,22 February 2021,32,0,0,59,0,0,9,28.4,21.0,25.2,30.2,32.6,33.2
Country,Northern Ireland,21 September 2020,33,0,0,33,0,0,33,30.8,30.6,30.6,30.7,31.0,31.0
Country,Northern Ireland,12 October 2020,14,0,0,21,0,0,64,28.9,21.6,26.4,30.1,32.8,34.8
Country,Northern Ireland,19 October 2020,24,0,0,16,0,0,60,29.3,23.0,26.2,31.0,32.8,34.6
Country,Northern Ireland,26 October 2020,25,0,0,0,0,0,75,26.7,18.0,22.2,28.2,31.5,34.0
Country,Northern Ireland,2 November 2020,5,5,0,20,0,0,70,28.8,24.3,25.7,28.8,32.1,32.9
Country,Northern Ireland,9 November 2020,24,16,0,16,0,0,44,28.7,20.0,23.6,31.1,33.6,35.0
Country,Northern Ireland,16 November 2020,6,0,0,17,0,0,78,29.0,17.1,27.5,31.0,32.9,33.6
Country,Northern Ireland,30 November 2020,18,0,0,27,0,9,45,28.4,18.2,24.3,30.0,33.1,33.4
Country,Northern Ireland,28 December 2020,10,0,0,50,5,0,35,23.6,13.2,18.7,24.1,29.5,33.1
Country,Northern Ireland,4 January 2021,8,8,0,38,0,0,46,26.5,19.3,22.9,27.3,30.5,32.0
Country,Northern Ireland,11 January 2021,14,9,0,55,0,0,22,26.7,17.5,22.1,28.0,32.2,34.1
Country,Northern Ireland,18 January 2021,13,25,0,43,7,0,12,30.2,21.6,29.1,32.3,33.6,34.5
Country,Northern Ireland,25 January 2021,16,26,0,42,0,0,16,29.5,19.1,26.4,32.5,33.9,35.6
Country,Northern Ireland,1 February 2021,33,16,0,45,0,4,2,31.1,26.0,30.2,32.7,33.8,34.6
Country,Northern Ireland,8 February 2021,50,5,0,40,0,0,5,31.5,23.5,31.5,33.2,34.0,34.6
Country,Northern Ireland,15 February 2021,24,0,0,71,0,0,6,26.1,14.4,17.1,31.3,33.7,34.5
Country,Scotland,5 October 2020,8,8,0,8,0,0,75,24.8,18.5,19.9,25.1,29.3,30.9
Country,Scotland,12 October 2020,21,0,0,0,0,0,79,23.8,16.4,17.6,21.0,30.2,34.5
Country,Scotland,19 October 2020,10,3,0,3,0,0,83,25.1,16.9,19.8,25.0,29.2,34.0
