RegionType,Region,Week started,N only,OR only,S only,OR+N,OR+S,N+S,OR+N+S,Mean,10th Percentile,25th Percentile,50th Percentile,75th Percentile,90th Percentile
EnglandRegion,East of England,25 January 2021,16,21,0,50,0,2,11,30.6,19.8,29.5,32.9,34.2,35.1
EnglandRegion,East of England,1 February 2021,38,11,0,49,0,1,1,31.5,24.3,31.1,32.9,34.2,35.1
EnglandRegion,East of England,8 February 2021,38,3,0,59,0,0,0,30.1,19.9,29.2,32.4,33.9,34.9
EnglandRegion,East of England,15 February 2021,24,8,0,68,0,0,0,28.4,16.3,25.4,32.0,32.9,34.3
EnglandRegion,East of England,22 February 2021,18,12,0,67,0,0,3,29.0,17.5,27.8,30.5,33.7,35.0
EnglandRegion,London,21 September 2020,9,0,0,12,0,0,79,26.6,20.2,21.6,28.2,29.8,33.1
EnglandRegion,London,28 September 2020,10,3,0,18,0,2,67,26.8,17.9,23.2,27.5,32.1,33.5
EnglandRegion,London,5 October 2020,29,3,0,15,0,1,52,28.3,18.2,22.9,31.1,33.7,34.6
EnglandRegion,London,12 October 2020,11,6,2,13,1,0,67,26.3,16.3,20.2,26.6,32.8,34.6
EnglandRegion,London,19 October 2020,20,8,0,14,0,0,58,27.8,18.6,22.4,29.3,33.2,34.9
EnglandRegion,London,26 October 2020,13,3,0,16,1,2,66,26.7,17.2,22.3,27.5,31.6,33.7
EnglandRegion,London,2 November 2020,15,10,0,15,0,0,60,26.9,17.6,22.2,28.0,31.9,33.8
EnglandRegion,London,9 November 2020,12,6,0,21,0,0,61,26.8,17.5,20.9,28.6,32.4,34.3
EnglandRegion,London,16 November 2020,12,1,0,24,2,1,60,27.3,17.8,23.0,28.9,32.3,33.9
EnglandRegion,London,23 November 2020,4,5,0,34,0,1,55,26.4,17.2,21.1,28.0,31.1,33.5
EnglandRegion,London,30 November 2020,12,5,0,40,0,1,42,25.9,16.3,20.0,26.9,32.6,33.8
EnglandRegion,London,7 December 2020,10,3,0,58,0,1,28,24.8,15.4,18.4,25.5,31.2,33.4
EnglandRegion,London,14 December 2020,6,3,0,70,0,0,20,22.7,13.9,16.5,22.3,28.9,32.5
EnglandRegion,London,21 December 2020,5,2,0,79,1,0,13,22.9,15.3,18.0,22.3,28.1,32.0
EnglandRegion,London,28 December 2020,13,2,0,75,0,0,9,24.9,15.5,19.6,25.6,30.8,33.1
EnglandRegion,London,4 January 2021,13,3,0,76,0,0,7,26.6,16.8,22.1,28.4,31.4,33.1
EnglandRegion,London,11 January 2021,16,9,0,68,0,0,6,28.1,17.2,23.5,30.5,33.1,34.6
EnglandRegion,London,18 January 2021,22,9,0,65,0,0,4,28.9,18.1,25.0,31.6,33.4,34.8
EnglandRegion,London,25 January 2021,23,13,0,57,0,1,5,30.2,20.8,28.6,32.3,33.7,34.8
EnglandRegion,London,1 February 2021,34,9,0,54,0,0,3,30.0,20.5,28.3,32.3,33.7,34.8
EnglandRegion,London,8 February 2021,34,6,0,57,0,0,2,30.1,22.5,27.5,32.4,33.7,34.7
EnglandRegion,London,15 February 2021,34,3,0,63,0,0,1,29.2,19.7,25.9,31.6,33.7,34.8
EnglandRegion,London,22 February 2021,22,9,0,68,0,0,1,29.5,21.3,27.4,31.1,33.1,33.9
EnglandRegion,South East,21 September 2020,40,0,0,10,0,0,50,27.8,16.7,23.4,30.0,34.9,35.7
EnglandRegion,South East,28 September 2020,10,14,0,19,0,0,57,28.6,17.0,27.8,30.9,32.6,33.7
EnglandRegion,South East,5 October 2020,45,13,0,13,0,0,30,30.7,23.1,27.6,33.3,34.2,35.4
EnglandRegion,South East,12 October 2020,16,3,0,11,0,0,70,27.3,20.6,23.7,27.6,32.1,33.9
EnglandRegion,South East,19 October 2020,17,2,0,17,0,0,65,25.9,17.7,21.1,26.3,31.8,33.7
EnglandRegion,South East,26 October 2020,15,6,0,8,0,0,71,24.4,15.8,18.2,24.6,30.1,34.4
EnglandRegion,South East,2 November 2020,11,5,1,7,1,1,74,27.2,18.5,23.2,28.4,31.5,34.0
EnglandRegion,South East,9 November 2020,15,6,0,15,0,0,64,26.6,16.4,20.0,28.2,32.9,34.8
EnglandRegion,South East,16 November 2020,12,1,0,25,2,0,60,26.8,18.0,21.5,28.9,31.9,33.6
EnglandRegion,South East,23 November 2020,13,3,0,41,0,2,41,27.0,17.2,21.6,29.0,32.2,33.6
EnglandRegion,South East,30 November 2020,21,8,0,36,0,2,33,27.7,17.0,21.7,29.4,33.3,34.1
EnglandRegion,South East,7 December 2020,24,5,0,46,2,0,23,27.5,17.2,20.7,30.1,33.3,34.6
EnglandRegion,South East,14 December 2020,9,2,0,66,0,1,22,23.5,15.0,17.7,22.5,30.0,33.3
EnglandRegion,South East,21 December 2020,6,3,0,67,1,1,23,23.6,14.4,17.6,23.2,30.1,33.1
EnglandRegion,South East,28 December 2020,12,4,0,70,1,0,13,25.4,15.1,18.9,26.2,31.9,34.0
EnglandRegion,South East,4 January 2021,13,3,0,76,0,0,7,25.3,15.3,19.7,26.6,30.9,33.8
EnglandRegion,South East,11 January 2021,20,8,0,68,0,0,5,28.1,17.5,23.6,30.3,33.2,34.4
EnglandRegion,South East,18 January 2021,19,13,0,63,0,0,4,28.7,17.7,25.4,31.0,33.6,34.7
EnglandRegion,South East,25 January 2021,24,14,0,57,0,1,4,29.8,18.2,28.5,32.5,33.7,34.9
EnglandRegion,South East,1 February 2021,37,10,0,51,0,0,2,30.1,22.9,27.9,32.3,33.7,34.6
EnglandRegion,South East,8 February 2021,30,8,0,62,0,0,0,29.3,18.6,25.7,32.1,34.1,34.9
EnglandRegion,South East,15 February 2021,20,11,0,67,0,0,2,29.8,22.7,26.9,31.7,33.3,34.4
EnglandRegion,South East,22 February 2021,32,6,0,61,0,0,0,30.2,21.9,28.6,31.9,33.7,34.3
EnglandRegion,South West,21 September 2020,29,29,0,0,0,0,43,30.4,18.2,26.7,32.7,34.5,34.8
EnglandRegion,South West,28 September 2020,12,4,0,16,0,0,68,27.6,18.7,22.6,29.8,32.3,34.8
EnglandRegion,South West,5 October 2020,31,3,0,24,0,0,41,27.8,17.9,23.4,28.8,34.2,35.3
EnglandRegion,South West,12 October 2020,9,9,0,21,0,0,62,27.6,19.3,24.2,29.0,31.4,33.4
EnglandRegion,South West,19 October 2020,19,2,0,14,0,2,63,28.1,19.1,25.8,29.9,31.7,33.9
EnglandRegion,South West,26 October 2020,10,5,0,15,0,0,71,25.9,16.5,21.2,26.4,31.3,33.0
EnglandRegion,South West,2 November 2020,9,4,0,18,0,0,69,26.5,17.6,21.5,27.5,32.0,34.0
EnglandRegion,South West,9 November 2020,19,5,0,20,2,0,54,26.8,17.4,21.1,27.9,33.0,34.8
EnglandRegion,South West,16 November 2020,13,3,0,13,0,1,69,27.2,18.2,22.4,29.4,31.9,33.6
EnglandRegion,South West,23 November 2020,14,8,0,27,0,0,51,29.1,20.9,26.1,30.6,33.4,34.0
EnglandRegion,South West,30 November 2020,11,11,0,28,3,3,44,27.9,20.5,23.2,29.5,32.7,34.5
EnglandRegion,South West,7 December 2020,31,11,0,29,0,6,23,30.6,23.3,29.9,31.9,33.8,34.6
EnglandRegion,South West,14 December 2020,24,7,0,33,0,0,36,26.0,15.3,18.8,27.1,33.1,34.5
EnglandRegion,South West,21 December 2020,33,7,0,30,4,0,26,28.5,19.7,25.9,30.0,33.5,34.3
EnglandRegion,South West,28 December 2020,26,10,0,45,0,3,16,28.5,17.0,23.3,31.3,34.1,34.9
EnglandRegion,South West,4 January 2021,18,4,0,66,0,0,11,24.8,14.7,18.2,25.8,32.0,33.8
EnglandRegion,South West,11 January 2021,10,15,0,55,0,0,20,28.0,17.7,24.0,30.4,33.1,34.4
EnglandRegion,South West,18 January 2021,20,22,0,49,0,0,9,30.5,19.5,29.3,32.6,34.0,34.9
EnglandRegion,South West,25 January 2021,18,21,0,49,0,0,12,30.4,21.2,27.9,32.6,33.9,35.2
EnglandRegion,South West,1 February 2021,30,7,0,55,1,2,4,30.6,24.9,29.4,32.2,33.9,34.7
EnglandRegion,South West,8 February 2021,33,10,0,57,0,0,0,30.4,21.5,29.6,31.9,33.9,35.4
EnglandRegion,South West,15 February 2021,22,4,0,74,0,0,0,28.4,18.1,23.9,30.4,32.7,34.0
EnglandRegion,South West,22 February 2021,25,0,0,75,0,0,0,29.0,23.1,25.7,29.5,32.4,34.1
